Wavelength(nm)	T%
571		6.21E-05
570.5		1.54E-05
570		5.36E-05
569.5		0.000196594
569		5.11E-05
568.5		0.000120465
568		8.02E-05
567.5		-1.46E-06
567		0.000186549
566.5		0.000111825
566		1.86E-05
565.5		2.79E-05
565		7.31E-05
564.5		0.000121484
564		5.81E-05
563.5		7.15E-05
563		-7.95E-05
562.5		5.52E-05
562		0.000106496
561.5		-1.99E-05
561		-0.000189263
560.5		9.43E-06
560		0.000154643
559.5		0.000103437
559		8.97E-05
558.5		0.000116465
558		0.000146545
557.5		0.00014285
557		0.000228663
556.5		0.000117871
556		3.41E-05
555.5		-4.48E-05
555		4.22E-05
554.5		9.25E-05
554		2.99E-05
553.5		8.83E-05
553		4.42E-05
552.5		0.000136251
552		7.37E-05
551.5		-6.95E-05
551		8.41E-05
550.5		0.000165513
550		0.00010034
549.5		-0.0001812
549		5.63E-06
548.5		0.000188346
548		0.000101035
547.5		-5.33E-05
547		1.57E-05
546.5		-7.22E-05
546		0.00010799
545.5		6.75E-06
545		-5.23E-05
544.5		0.000164008
544		-4.91E-05
543.5		0.000200829
543		-1.39E-06
542.5		2.37E-05
542		0.000186302
541.5		0.000133971
541		0.000114338
540.5		1.46E-05
540		0.0001994
539.5		0.000129387
539		5.26E-05
538.5		2.08E-05
538		7.44E-07
537.5		-4.77E-05
537		7.42E-05
536.5		0.000153262
536		1.66E-05
535.5		2.98E-05
535		9.75E-05
534.5		-0.000105997
534		4.20E-05
533.5		-1.88E-06
533		-6.12E-05
532.5		7.95E-05
532		-3.62E-05
531.5		1.34E-06
531		-7.07E-05
530.5		-2.04E-07
530		0.000222695
529.5		0.000141177
529		-3.27E-05
528.5		9.52E-05
528		4.42E-05
527.5		0.000119138
527		-0.000149117
526.5		0.000207797
526		3.72E-05
525.5		1.82E-05
525		3.69E-05
524.5		0.00011743
524		-0.000136575
523.5		0.000178649
523		-4.21E-05
522.5		4.69E-06
522		3.96E-05
521.5		0.000165277
521		4.57E-05
520.5		0.000179228
520		-8.84E-05
519.5		0.000142927
519		0.000146699
518.5		6.39E-05
518		0.000215768
517.5		0.000221577
517		0.000242094
516.5		0.000150355
516		0.000278234
515.5		0.000283869
515		1.29E-05
514.5		0.000133152
514		-8.73E-06
513.5		5.33E-05
513		0.000304079
512.5		-0.00021194
512		8.07E-05
511.5		6.49E-05
511		3.49E-05
510.5		9.33E-05
510		0.000153507
509.5		-7.72E-05
509		-1.52E-05
508.5		0.000185564
508		0.000190637
507.5		4.46E-05
507		0.000175766
506.5		-0.000136802
506		0.000142926
505.5		9.78E-05
505		7.74E-05
504.5		6.49E-05
504		5.04E-05
503.5		-6.95E-05
503		9.58E-05
502.5		5.57E-05
502		0.000236082
501.5		-1.29E-05
501		0.000177657
500.5		2.76E-05
500		9.02E-05
499.5		0.000125322
499		-3.22E-05
498.5		0.000167945
498		-8.66E-06
497.5		-4.73E-05
497		-0.000119532
496.5		-0.000105495
496		8.58E-06
495.5		-7.75E-05
495		3.36E-05
494.5		-2.36E-06
494		-0.000114834
493.5		9.88E-05
493		0.000136693
492.5		0.000166978
492		0.000109603
491.5		0.000170228
491		0.000167303
490.5		7.28E-05
490		4.25E-05
489.5		9.48E-05
489		-1.98E-05
488.5		0.000214216
488		0.000150108
487.5		-1.13E-05
487		0.000234565
486.5		-6.08E-05
486		1.38E-05
485.5		0.00017728
485		0.000225731
484.5		-9.81E-05
484		-2.79E-06
483.5		1.46E-05
483		-0.000115766
482.5		-0.000106746
482		0.000102928
481.5		4.58E-05
481		8.42E-05
480.5		-4.63E-05
480		-0.000243718
479.5		-7.37E-05
479		-6.64E-07
478.5		0.000167737
478		0.000155425
477.5		0.000120138
477		7.10E-05
476.5		0.000130187
476		0.000212444
475.5		0.000113231
475		0.00032394
474.5		0.000195895
474		-0.000342326
473.5		0.000236768
473		-2.88E-05
472.5		-2.74E-05
472		9.39E-05
471.5		2.95E-05
471		-3.26E-05
470.5		-5.12E-05
470		0.000153965
469.5		0.000194778
469		4.41E-05
468.5		0.000118231
468		-6.46E-05
467.5		-6.12E-05
467		8.81E-05
466.5		-0.000101496
466		-0.000118612
465.5		6.09E-05
465		-9.04E-06
464.5		0.000158375
464		-7.19E-05
463.5		-5.86E-05
463		-0.00018171
462.5		0.000123434
462		-2.75E-05
461.5		2.87E-05
461		0.000292271
460.5		0.000121539
460		0.000181681
459.5		4.83E-05
459		0.000274534
458.5		-0.00010477
458		-8.05E-05
457.5		7.85E-05
457		0.000169684
456.5		0.000261349
456		7.05E-05
455.5		-2.69E-05
455		-0.000209871
454.5		6.14E-06
454		-0.000142273
453.5		-0.000116928
453		-3.13E-05
452.5		-3.29E-05
452		0.000144893
451.5		6.05E-05
451		-5.65E-05
450.5		5.89E-05
450		0.000241718
449.5		0.00036159
449		6.33E-05
448.5		-5.23E-05
448		6.95E-05
447.5		-1.33E-05
447		4.24E-05
446.5		0.000153995
446		7.19E-05
445.5		-0.000114598
445		4.39E-05
444.5		-3.69E-05
444		3.37E-05
443.5		0.000152615
443		0.000192257
442.5		-5.36E-06
442		5.93E-05
441.5		-1.08E-05
441		6.09E-06
440.5		-9.57E-05
440		0.000223384
439.5		0.000130745
439		1.21E-05
438.5		6.83E-05
438		0.000100189
437.5		8.85E-05
437		7.85E-05
436.5		5.50E-05
436		3.56E-05
435.5		0.000134129
435		3.40E-05
434.5		0.000179021
434		-5.24E-05
433.5		0.000118633
433		4.82E-05
432.5		1.09E-05
432		1.24E-05
431.5		0.000283897
431		-1.68E-05
430.5		0.000267083
430		0.000123667
