Wavelength(nm)	T%
436.5		0.002297043
436		0.002184348
435.5		0.002005592
435		0.001697525
434.5		0.001982495
434		0.001988653
433.5		0.001604468
433		0.001555405
432.5		0.00179784
432		0.001616695
431.5		0.001608446
431		0.001709049
430.5		0.001573127
430		0.00141382
429.5		0.001654871
429		0.001647197
428.5		0.001779327
428		0.001455542
427.5		0.001554398
427		0.00179686
426.5		0.001845826
426		0.00147814
425.5		0.001576709
425		0.001500126
424.5		0.001612373
424		0.001539838
423.5		0.001814857
423		0.001621503
422.5		0.00144397
422		0.001593892
421.5		0.001622676
421		0.001647551
420.5		0.001947606
420		0.002006402
419.5		0.002018272
419		0.001938982
418.5		0.001792316
418		0.001830754
417.5		0.001522564
417		0.00178248
416.5		0.001430898
416		0.001662443
415.5		0.001590682
415		0.001667953
414.5		0.001529779
414		0.001665739
413.5		0.00163569
413		0.001791767
412.5		0.001940301
412		0.002124293
411.5		0.002304447
411		0.002409109
410.5		0.002453586
410		0.002325234
409.5		0.002250651
409		0.002227747
408.5		0.002015403
408		0.001923033
407.5		0.001660798
407		0.002160876
406.5		0.001854636
406		0.002240458
405.5		0.002050495
405		0.002554059
404.5		0.002604872
404		0.002613714
403.5		0.0024113
403		0.002132763
402.5		0.001602451
402		0.001252688
401.5		0.001086828
401		0.000741135
400.5		0.000461523
400		0.000397094
399.5		0.000608716
399		0.000470672
398.5		0.000431501
398		0.000337986
397.5		0.000510659
397		0.000667931
396.5		0.001088393
396		0.001411696
395.5		0.001407093
395		0.001642184
394.5		0.001556261
394		0.001415993
393.5		0.001418084
393		0.001328282
392.5		0.00099379
392		0.000845896
391.5		0.000537326
391		0.000348384
390.5		0.000291879
390		0.000337728
389.5		0.000132721
389		0.000422149
388.5		0.000185233
388		0.000243385
387.5		0.000155124
387		0.000218049
386.5		0.000137091
386		0.000114977
385.5		0.000298332
385		0.000200986
384.5		0.000237404
384		0.000212216
383.5		-5.89E-05
383		0.0001351
382.5		0.000200242
382		0.000383538
381.5		0.000138436
381		0.000197088
380.5		0.00024679
380		0.000326006
379.5		0.000353267
379		0.000354881
378.5		0.000244264
378		3.01E-05
377.5		0.000174098
377		0.000158004
376.5		7.84E-05
376		0.000388379
375.5		0.000236678
375		2.73E-06
374.5		9.84E-05
374		8.73E-05
373.5		0.000138387
373		-0.000184577
372.5		8.53E-05
372		0.000273069
371.5		0.000344585
371		0.00013566
370.5		1.25E-05
370		-3.88E-05
369.5		0.000196165
369		-6.67E-05
368.5		0.000145486
368		9.23E-05
367.5		8.23E-05
367		0.000198723
366.5		0.000177599
366		0.000138024
365.5		7.82E-05
365		0.000137386
364.5		0.000106284
364		-5.10E-05
363.5		0.000153507
363		0.000116052
362.5		0.000155959
362		-0.000267865
361.5		-1.81E-05
361		-4.56E-05
360.5		1.65E-07
360		7.89E-05
359.5		0.000213192
359		4.64E-05
358.5		3.54E-05
358		-0.000103771
357.5		-8.98E-06
357		0.000204504
356.5		0.000123403
356		0.000177665
355.5		0.000135383
355		0.000111508
354.5		0.000103345
354		4.26E-05
353.5		0.000142208
353		0.000252545
352.5		0.000180509
352		0.000127917
351.5		0.000114941
351		1.50E-05
350.5		3.66E-06
350		4.71E-05
349.5		-0.000503629
349		0.000176814
