Wavelength(nm)	T%
869.5		0.00522823
869		0.00544949
868.5		0.005178214
868		0.005472319
867.5		0.005540506
867		0.005431825
866.5		0.00543284
866		0.005168285
865.5		0.005474494
865		0.005561891
864.5		0.005598727
864		0.004963322
863.5		0.004968759
863		0.005540399
862.5		0.005172357
862		0.005255424
861.5		0.005265158
861		0.004868825
860.5		0.005007429
860		0.004652376
859.5		0.00495042
859		0.004687479
858.5		0.004722461
858		0.004746681
857.5		0.004568947
857		0.004603984
856.5		0.004432637
856		0.004414444
855.5		0.004228782
855		0.004392231
854.5		0.004317239
854		0.004368107
853.5		0.0043832
853		0.00428092
852.5		0.004224848
852		0.004137347
851.5		0.004051638
851		0.004187444
850.5		0.004172376
850		0.00374273
849.5		0.004091403
849		0.00376398
848.5		0.003887654
848		0.003718282
847.5		0.003640643
847		0.003675684
846.5		0.003507937
846		0.00343549
845.5		0.003516536
845		0.003554216
844.5		0.003432508
844		0.003521997
843.5		0.003546792
843		0.003195117
842.5		0.003572985
842		0.003529002
841.5		0.003229948
841		0.003325859
840.5		0.003458056
840		0.003343534
839.5		0.003168348
839		0.003167244
838.5		0.003423237
838		0.003249517
837.5		0.003161476
837		0.003327423
836.5		0.003098671
836		0.003202059
835.5		0.002862573
835		0.003192917
834.5		0.002917055
834		0.003095462
833.5		0.002896792
833		0.003135902
832.5		0.002813282
832		0.002736441
831.5		0.002766235
831		0.002944282
830.5		0.00269069
830		0.002852927
829.5		0.00284152
829		0.003143454
828.5		0.002769634
828		0.002780531
827.5		0.002866036
827		0.002918492
826.5		0.00289668
826		0.002456243
825.5		0.00271606
825		0.002924871
824.5		0.002755275
824		0.002743238
823.5		0.002999857
823		0.002659913
822.5		0.002722188
822		0.002812247
821.5		0.002639763
821		0.002712343
820.5		0.002563062
820		0.002722719
819.5		0.002585389
819		0.002699642
818.5		0.002302697
818		0.002595819
817.5		0.002776335
817		0.002629479
816.5		0.00277146
816		0.002786307
815.5		0.002507262
815		0.002475166
814.5		0.002605809
814		0.002579395
813.5		0.002353794
813		0.00269991
812.5		0.002747132
812		0.002766487
811.5		0.002533959
811		0.00265088
810.5		0.002676924
810		0.002610223
809.5		0.00259577
809		0.002690954
808.5		0.002995743
808		0.002764952
807.5		0.002774687
807		0.00241286
806.5		0.002982346
806		0.002701772
805.5		0.003085172
805		0.002884089
804.5		0.002734415
804		0.002848997
803.5		0.002613027
803		0.002812696
802.5		0.002836473
802		0.002787908
801.5		0.00273326
801		0.002654932
800.5		0.00285281
800		0.002867919
799.5		0.002869784
799		0.002653588
798.5		0.002585338
798		0.002765266
797.5		0.00280269
797		0.002807871
796.5		0.00279455
796		0.002875824
795.5		0.002765885
795		0.002751909
794.5		0.003187749
794		0.00292131
793.5		0.002968669
793		0.003082505
792.5		0.003168513
792		0.003101962
791.5		0.003189655
791		0.003356933
790.5		0.003445157
790		0.003132907
789.5		0.003280875
789		0.00324279
788.5		0.003287864
788		0.003322994
787.5		0.003408504
787		0.003391231
786.5		0.003739478
786		0.003397352
785.5		0.003573086
785		0.003418603
784.5		0.003468744
784		0.003663348
783.5		0.00360655
783		0.003464456
782.5		0.00374202
782		0.003683689
781.5		0.003913454
781		0.003514799
780.5		0.003905953
780		0.003762692
779.5		0.004024907
779		0.004115323
778.5		0.004135473
778		0.003985117
777.5		0.003932686
777		0.004224493
776.5		0.004229282
776		0.004452809
775.5		0.004422067
775		0.004398978
774.5		0.004458032
774		0.004508836
773.5		0.004544953
773		0.004448179
772.5		0.004510586
772		0.004882711
771.5		0.005012085
771		0.004953717
770.5		0.004981086
770		0.005130772
769.5		0.00536402
769		0.005400226
768.5		0.005425189
768		0.005498418
767.5		0.005498788
767		0.005687993
766.5		0.005793939
766		0.005879961
765.5		0.005981757
765		0.006127585
764.5		0.006588439
764		0.006296879
763.5		0.006303345
763		0.006763377
762.5		0.006738165
762		0.007188115
761.5		0.007016999
761		0.007298526
760.5		0.007133539
760		0.007400826
759.5		0.007548936
759		0.007704423
758.5		0.007962717
758		0.008147023
757.5		0.008580918
757		0.008432337
756.5		0.008670912
756		0.008856347
755.5		0.009106042
755		0.009282555
754.5		0.009600856
754		0.009860445
753.5		0.009965406
753		0.010213966
752.5		0.010703027
752		0.010522891
751.5		0.01122409
751		0.011519597
750.5		0.011848331
750		0.012180556
749.5		0.012084413
749		0.01272584
748.5		0.013331257
748		0.013462844
747.5		0.013826568
747		0.014083847
746.5		0.014376624
746		0.015012801
745.5		0.015505629
745		0.016345819
744.5		0.016516332
744		0.016928034
743.5		0.017558644
743		0.018019266
742.5		0.018624414
742		0.0192503
741.5		0.019787241
741		0.020373646
740.5		0.021056894
740		0.02207754
739.5		0.022564074
739		0.023457322
738.5		0.024474639
738		0.025178367
737.5		0.026075175
737		0.026983293
736.5		0.02783639
736		0.029044682
735.5		0.030202968
735		0.031529233
734.5		0.032588221
734		0.033538695
733.5		0.035213009
733		0.036362741
732.5		0.037920866
732		0.039626699
731.5		0.04132697
731		0.042856425
730.5		0.044471256
730		0.046688791
729.5		0.048507798
729		0.050844532
728.5		0.053166971
728		0.055465788
727.5		0.057581149
727		0.060295746
726.5		0.063213952
726		0.066098414
725.5		0.069408007
725		0.072287865
724.5		0.076069169
724		0.07980077
723.5		0.083265826
723		0.087542504
722.5		0.091996215
722		0.096917674
721.5		0.10184025
721		0.107372329
720.5		0.112862386
720		0.11880447
719.5		0.125346094
719		0.132009342
718.5		0.139562219
718		0.147175103
717.5		0.155677185
717		0.164675146
716.5		0.173980728
716		0.184167936
715.5		0.195207059
715		0.206468821
714.5		0.219233304
714		0.232865036
713.5		0.247333273
713		0.262905717
712.5		0.279255062
712		0.297380924
711.5		0.316759318
711		0.337642074
710.5		0.360218048
710		0.384030253
709.5		0.410838425
709		0.439432025
708.5		0.469523847
708		0.502867281
