Wavelength(nm)	T%
764.5		0.000322034
764		0.000360309
763.5		0.000252364
763		-0.000143576
762.5		5.10E-05
762		-1.20E-05
761.5		0.000142872
761		0.000197843
760.5		0.000230316
760		0.000142268
759.5		-8.14E-06
759		9.73E-05
758.5		7.16E-05
758		0.000218213
757.5		3.66E-06
757		0.000125216
756.5		4.57E-05
756		-0.000102496
755.5		5.36E-05
755		0.000236675
754.5		4.12E-05
754		0.000162185
753.5		0.00014877
753		-0.000163722
752.5		2.51E-05
752		-4.56E-06
751.5		0.000133321
751		1.44E-05
750.5		-0.000197684
750		-2.90E-06
749.5		0.000128449
749		0.000107445
748.5		9.91E-07
748		0.000113398
747.5		-3.14E-05
747		0.000191347
746.5		6.83E-05
746		6.65E-07
745.5		-0.000143363
745		9.03E-05
744.5		0.000140092
744		0.000246484
743.5		0.000152964
743		6.51E-05
742.5		0.000173129
742		-8.12E-05
741.5		-0.000213148
741		0.000268531
740.5		9.98E-05
740		0.000132205
739.5		0.000156953
739		6.79E-05
738.5		2.87E-05
738		-3.49E-05
737.5		0.000121423
737		-0.00010634
736.5		-0.000132609
736		-2.84E-05
735.5		0.000148563
735		-7.78E-05
734.5		0.000199912
734		2.57E-05
733.5		0.000125179
733		-8.19E-05
732.5		0.000106113
732		0.00013882
731.5		-2.07E-05
731		6.69E-05
730.5		0.000357868
730		1.15E-05
729.5		2.34E-05
729		0.000150431
728.5		0.00013
728		-4.01E-05
727.5		0.000156634
727		0.0001062
726.5		0.000145296
726		0.000255598
725.5		0.00021538
725		0.000138531
724.5		1.06E-05
724		-7.86E-05
723.5		8.24E-05
723		0.000161415
722.5		0.000160305
722		1.03E-05
721.5		-2.38E-05
721		0.000186965
720.5		0.000130981
720		0.000223639
719.5		-2.43E-06
719		2.70E-05
718.5		0.00018105
718		0.000243645
717.5		0.000198355
717		3.44E-06
716.5		9.80E-05
716		9.02E-05
715.5		7.28E-05
715		-5.79E-05
714.5		-2.15E-05
714		-7.41E-06
713.5		-1.12E-05
713		-1.89E-05
712.5		-0.000213902
712		7.17E-05
711.5		5.08E-05
711		-0.000199968
710.5		-4.45E-05
710		-0.000100562
709.5		0.000165304
709		0.000121182
708.5		0.000330583
708		-7.04E-05
707.5		0.000180275
707		0.000150242
706.5		0.000116622
706		0.000525599
705.5		0.000111751
705		0.000171033
704.5		0.000219877
704		0.000153208
703.5		5.10E-05
703		0.000212476
702.5		-9.91E-05
702		0.00028889
701.5		8.85E-05
701		-1.90E-05
700.5		0.000176282
700		-0.000117786
699.5		0.000148713
699		0.000215531
698.5		0.000206906
698		-9.87E-05
697.5		6.33E-05
697		5.38E-05
696.5		1.74E-05
696		-0.000132721
695.5		0.000186452
695		0.000126392
