Wavelength(nm)	T%
872.5		0.049457636
872		0.052070163
871.5		0.055191386
871		0.059530355
870.5		0.063816682
870		0.066948719
869.5		0.072071821
869		0.076704234
868.5		0.080879316
868		0.087939948
867.5		0.094324246
867		0.099894054
866.5		0.107065916
866		0.114766523
865.5		0.122292236
865		0.132399619
864.5		0.142511204
864		0.151814699
863.5		0.163417757
863		0.177055731
862.5		0.189907432
862		0.204601646
861.5		0.220504195
861		0.239636511
860.5		0.257407606
860		0.280131429
859.5		0.302065969
859		0.327415407
858.5		0.355491281
858		0.385690779
857.5		0.419060737
857		0.455701619
856.5		0.497261375
856		0.543037355
855.5		0.591288805
855		0.645529032
854.5		0.70700717
854		0.771639645
853.5		0.848897815
853		0.930882156
852.5		1.021932602
852		1.124016523
851.5		1.239563942
851		1.365417004
850.5		1.508193016
850		1.669251204
849.5		1.850268602
849		2.045648575
848.5		2.273559093
848		2.528186798
847.5		2.811009884
847		3.136580706
846.5		3.50114584
846		3.910829544
845.5		4.373515606
845		4.904304504
844.5		5.492045879
844		6.156146049
843.5		6.931222439
843		7.804793358
842.5		8.768055916
842		9.88088131
841.5		11.13038445
841		12.53506851
840.5		14.13495255
840		15.94065571
839.5		17.92860031
839		20.15132332
838.5		22.67166901
838		25.37621307
837.5		28.3154068
837		31.59989738
836.5		35.10313797
836		38.76749802
835.5		42.66215515
835		46.68254089
834.5		50.78051758
834		54.95833588
833.5		59.12253189
833		63.07929611
832.5		66.8911972
832		70.55690002
831.5		73.87760925
831		76.84490967
830.5		79.55445099
830		81.93238068
829.5		83.91054535
829		85.64524078
828.5		87.03919983
828		88.17420197
827.5		89.13237762
827		89.87354279
826.5		90.40861511
826		90.85943604
825.5		91.17804718
825		91.4754715
824.5		91.64308167
824		91.78917694
823.5		91.94454193
823		92.0644455
822.5		92.15847015
822		92.26760864
821.5		92.36448669
821		92.47370148
820.5		92.61712646
820		92.73819733
819.5		92.88408661
819		93.03778839
818.5		93.20730591
818		93.37239075
817.5		93.53176117
817		93.6897583
816.5		93.88813019
816		94.03825378
815.5		94.20290375
815		94.35831451
814.5		94.51628113
814		94.67720032
813.5		94.80600739
813		94.94622803
812.5		95.06137848
812		95.17392731
811.5		95.27546692
811		95.3635788
810.5		95.44624329
810		95.52120972
809.5		95.56697845
809		95.61582184
808.5		95.6499176
808		95.689888
807.5		95.73256683
807		95.73563385
806.5		95.78245544
806		95.79551697
805.5		95.81730652
805		95.81291962
804.5		95.82164001
804		95.8212204
803.5		95.81496429
803		95.78368378
802.5		95.80169678
802		95.79380798
801.5		95.81798553
801		95.79664612
800.5		95.78442383
800		95.80921173
799.5		95.79720306
799		95.80451202
798.5		95.80697632
798		95.8132782
797.5		95.82191467
797		95.83805084
796.5		95.83297729
796		95.84190369
795.5		95.84574127
795		95.8618927
794.5		95.84588623
794		95.86366272
793.5		95.87743378
793		95.85824585
792.5		95.86368561
792		95.87976074
791.5		95.88072968
791		95.8772049
790.5		95.86302948
790		95.85864258
789.5		95.86722565
789		95.84301758
788.5		95.82962036
788		95.81957245
787.5		95.80355072
787		95.78813171
786.5		95.75852966
786		95.74642181
785.5		95.71019745
785		95.69126892
784.5		95.66134644
784		95.62570953
783.5		95.5956955
783		95.57577515
782.5		95.54384613
782		95.52056122
781.5		95.46524048
781		95.45470428
780.5		95.41215515
780		95.37973022
779.5		95.36675262
779		95.32932281
778.5		95.30192566
778		95.28160095
777.5		95.24185181
777		95.22112274
776.5		95.19625854
776		95.17584991
775.5		95.1620636
775		95.14472198
774.5		95.14317322
774		95.12905884
773.5		95.12471008
773		95.13450623
772.5		95.09485626
772		95.08311462
771.5		95.10850525
771		95.09574127
770.5		95.11021423
770		95.11169434
769.5		95.11234283
769		95.13075256
768.5		95.12202454
768		95.13876343
767.5		95.15010071
767		95.17456818
766.5		95.17765808
766		95.1914444
765.5		95.20624542
765		95.19542694
764.5		95.21218872
764		95.23951721
